savename=equal_number; dataset=pets; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,85.03134369850159,0.0833866451701324,85.11856198310852,84.90051627159119,99.23685073852539,0.04560788891405788,99.31861758232117,99.18233752250671
savename=equal_number; dataset=pets; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,84.8187506198883,0.19654093799000402,85.17307043075562,84.57345366477966,99.50395107269287,0.05284900734709844,99.53665733337402,99.40038323402405
savename=equal_number; dataset=dtd; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32,46.0638302564621,0.15044865485171371,46.22340500354767,45.79787254333496,76.54255270957947,0.2648928376237453,76.91489458084106,76.27659440040588
savename=equal_number; dataset=dtd; k=5; shot=32; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,53.776596784591675,0.1387070119226472,53.989362716674805,53.61701846122742,85.52127599716187,0.299764301823078,85.79787015914917,85.00000238418579
savename=equal_number; dataset=flowers102; k=5; shot=8; mode=filtered_dclip; reps=5; model_size=ViT-B/32,67.87445187568665,0.08330590499904418,67.99479722976685,67.73459315299988,86.44982933998108,0.08381262981338355,86.55065894126892,86.32298111915588
savename=equal_number; dataset=flowers102; k=5; shot=8; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,73.42982769012451,0.1474108313367917,73.67051839828491,73.26394319534302,90.61310648918152,0.07655690069456401,90.68140983581543,90.46999216079712
savename=equal_number; dataset=fgvcaircraft; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32,28.19682002067566,0.08139628020882081,28.262826800346375,28.08280885219574,66.97869658470154,0.04874865060823789,67.05670356750488,66.90669059753418
savename=equal_number; dataset=fgvcaircraft; k=5; shot=32; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,28.244823813438416,0.10496807662284435,28.352835774421692,28.052803874015808,68.23282241821289,0.16257075618501826,68.49684715270996,68.04680228233337
savename=equal_number; dataset=cars; k=5; shot=16; mode=filtered_dclip; reps=5; model_size=ViT-B/32,59.59208965301514,0.15481143330837896,59.73137617111206,59.33341383934021,91.2423825263977,0.047454819340747696,91.31948947906494,91.17025136947632
savename=equal_number; dataset=cars; k=5; shot=16; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,59.706504344940186,0.289740093403796,60.253697633743286,59.48265194892883,91.14289164543152,0.12296330075428699,91.29461646080017,90.93396067619324
